filename,HBcount,HBless1SD,HBless1.1SD,HBless1.5SD,dehydronCount,totalAtomsInPDB,totalAtomsInHBDD,totalUniqueAtomsInDDD,totalUniqueAtomsInHBDD
1KOY_A.pdb,15,2.37975,2.04,1.005,12,1332,2022,1517,889
3BO6_A.pdb,55,8.72575,7.48,3.685,33,3405,6108,3485,2511
2PWA_A.pdb,53,8.40845,7.208,3.551,49,3961,5897,5453,2833
2Z2F_A.pdb,32,5.0768,4.352,2.144,26,1966,3406,2665,1438
1EE8_A.pdb,73,11.58145,9.928,4.891,52,4232,8164,5610,3325
3F4W_A.pdb,36,5.7114,4.896,2.412,28,3234,3834,2852,2189
1E9K_A.pdb,9,1.42785,1.224,0.603,8,830,1366,1189,510
1MB4_A.pdb,64,10.1536,8.704,4.288,45,5675,7040,4650,3712
1G9H_A.pdb,81,12.85065,11.016,5.427,61,6615,8756,6360,4303
2PLX_B.pdb,3,0.47595,0.408,0.201,3,419,258,258,202
2YWO_A.pdb,34,5.3941,4.624,2.278,16,2944,3794,1625,1958
1N7S_B.pdb,5,0.79325,0.68,0.335,5,1078,460,460,391
1EAX_A.pdb,107,16.97555,14.552,7.169,80,3638,11200,7935,3053
2JG6_A.pdb,33,5.23545,4.488,2.211,19,2987,3649,1963,1976
3C7F_A.pdb,166,26.3359,22.576,11.122,83,7114,19151,8855,5826
3FF5_A.pdb,8,1.2692,1.088,0.536,7,870,770,656,588
1BOR_A.pdb,5,0.79325,0.68,0.335,3,831,554,290,333
2NN8_A.pdb,67,10.62955,9.112,4.489,44,2224,7561,4786,1896
1BGF_A.pdb,11,1.74515,1.496,0.737,9,2046,1119,911,809
1H0H_B.pdb,36,5.7114,4.896,2.412,25,3236,3936,2657,2134
3BZY_B.pdb,14,2.2211,1.904,0.938,10,1354,1444,983,871
2RCT_A.pdb,5,0.79325,0.68,0.335,3,2290,559,311,271
2VAY_B.pdb,5,0.79325,0.68,0.335,3,388,511,288,173
1K63_A.pdb,50,7.9325,6.8,3.35,33,4584,5583,3552,2994
2W8B_B.pdb,125,19.83125,17.0,8.375,71,6061,14168,7548,4662
2PBR_A.pdb,25,3.96625,3.4,1.675,19,3230,2737,2009,1677
1NYJ_A.pdb,0,0.0,0.0,0.0,0,405,0,0,0
1DHN_A.pdb,32,5.0768,4.352,2.144,29,1928,3523,3176,1293
3EUO_A.pdb,95,15.07175,12.92,6.365,76,5702,10650,8326,4275
2PSP_A.pdb,20,3.173,2.72,1.34,14,1598,2110,1402,1058
1CZP_A.pdb,29,4.60085,3.944,1.943,23,1445,3119,2383,1085
2PI6_A.pdb,61,9.67765,8.296,4.087,40,5680,6761,4149,3423
1HJ0_A.pdb,12,1.9038,1.632,0.804,12,902,1443,1443,673
1EHS_A.pdb,11,1.74515,1.496,0.737,10,936,1371,1242,705
1EDQ_A.pdb,108,17.1342,14.688,7.236,71,8142,12066,7544,5475
3B3V_A.pdb,47,7.45655,6.392,3.149,36,4280,5211,3820,2652
1H4P_A.pdb,59,9.36035,8.024,3.953,47,6385,6151,4719,3936
1FM4_A.pdb,54,8.5671,7.344,3.618,43,2445,5980,4714,1701
1KX5_B.pdb,13,2.06245,1.768,0.871,13,1645,1219,1219,718
2IVB_A.pdb,26,4.1249,3.536,1.742,21,2439,2506,1949,1417
1C5E_A.pdb,21,3.33165,2.856,1.407,10,1371,2304,920,1004
2JFN_A.pdb,38,6.0287,5.168,2.546,32,4129,4202,3414,2344
2ZW0_A.pdb,0,0.0,0.0,0.0,0,879,0,0,0
2QCP_X.pdb,27,4.28355,3.672,1.809,21,1258,2962,2222,913
3ESL_B.pdb,35,5.55275,4.76,2.345,22,3391,3769,2191,2141
1CQW_A.pdb,48,7.6152,6.528,3.216,28,4639,5505,3083,3018
2QUZ_A.pdb,26,4.1249,3.536,1.742,24,2617,2807,2542,1458
1DAQ_A.pdb,10,1.5865,1.36,0.67,6,1461,1445,800,811
1JY9_A.pdb,1,0.15865,0.136,0.067,1,401,104,104,104
1LQV_C.pdb,0,0.0,0.0,0.0,0,387,0,0,0
2O4Q_A.pdb,50,7.9325,6.8,3.35,40,5050,5503,4256,3218
1NE9_A.pdb,89,14.11985,12.104,5.963,51,5281,10299,5443,3988
3EAU_A.pdb,57,9.04305,7.752,3.819,46,5150,6118,4782,3199
1GDV_A.pdb,16,2.5384,2.176,1.072,15,1236,1598,1477,801
2VEI_A.pdb,32,5.0768,4.352,2.144,25,3638,3385,2527,2261
2R4A_A.pdb,99,15.70635,13.464,6.633,49,3682,11550,5245,2968
1LAM_A.pdb,80,12.692,10.88,5.36,59,7385,8720,6121,4450
2V1Q_A.pdb,20,3.173,2.72,1.34,10,947,2206,996,700
1J83_A.pdb,60,9.519,8.16,4.02,37,2624,6849,4067,2193
1DPT_A.pdb,22,3.4903,2.992,1.474,20,1789,2183,1949,1176
2UWR_A.pdb,15,2.37975,2.04,1.005,9,1221,1614,880,707
1G8K_B.pdb,37,5.87005,5.032,2.479,28,1899,3992,2923,1395
1O06_A.pdb,1,0.15865,0.136,0.067,1,302,77,77,77
3FJX_A.pdb,106,16.8169,14.416,7.102,80,6475,11819,8543,4936
3BBC_A.pdb,38,6.0287,5.168,2.546,19,2408,4393,1986,1713
2JQ1_A.pdb,156744,24867.4356,21317.184,10501.848,960,3630,165184357,324136,3618
1CCW_B.pdb,65,10.31225,8.84,4.355,53,7517,7046,5622,3918
3CY4_B.pdb,47,7.45655,6.392,3.149,28,2389,5292,2963,1702
2JNR_B.pdb,2,0.3173,0.272,0.134,2,396,227,227,165
1H8M_A.pdb,41,6.50465,5.576,2.747,19,2854,6133,2473,2281
2QUB_A.pdb,14,2.2211,1.904,0.938,8,8924,1567,821,853
2OB3_A.pdb,51,8.09115,6.936,3.417,41,5040,5585,4345,3400
1GNT_A.pdb,57,9.04305,7.752,3.819,46,8454,5942,4622,4058
1AY7_B.pdb,11,1.74515,1.496,0.737,7,1433,1184,715,788
2OIT_A.pdb,147,23.32155,19.992,9.849,77,6757,16939,8354,4923
1FJJ_A.pdb,44,6.9806,5.984,2.948,29,2257,5015,3168,1670
2QJL_A.pdb,30,4.7595,4.08,2.01,23,1536,3239,2373,1246
1GCC_A.pdb,16,2.5384,2.176,1.072,11,1350,2113,1418,856
1DQE_A.pdb,24,3.8076,3.264,1.608,19,2094,2609,1968,1416
1NXU_B.pdb,73,11.58145,9.928,4.891,49,4857,8038,5056,3230
3FK0_A.pdb,105,16.65825,14.28,7.035,77,6473,11779,8222,4951
2VLW_A.pdb,28,4.4422,3.808,1.876,18,983,2852,1756,756
1EGN_A.pdb,124,19.6726,16.864,8.308,89,6134,13640,9335,4752
1HCD_A.pdb,30,4.7595,4.08,2.01,25,2282,3788,3056,1469
1LQ9_A.pdb,33,5.23545,4.488,2.211,24,1666,3469,2383,1225
3B35_A.pdb,48,7.6152,6.528,3.216,38,4274,5416,4162,2754
1IQZ_A.pdb,15,2.37975,2.04,1.005,8,1171,1581,754,771
1J34_A.pdb,33,5.23545,4.488,2.211,17,1980,3587,1705,1435
1K7C_A.pdb,30,4.7595,4.08,2.01,26,3360,3146,2674,1796
1JET_A.pdb,116,18.4034,15.776,7.772,67,8230,13194,7009,5796
1B5F_B.pdb,33,5.23545,4.488,2.211,30,1312,2885,2580,1032
1LOK_A.pdb,45,7.13925,6.12,3.015,35,4281,5048,3773,2571
1F2H_A.pdb,32,5.0768,4.352,2.144,26,3470,4384,3431,2072
3E4H_A.pdb,8,1.2692,1.088,0.536,8,386,778,778,272
1DW9_A.pdb,25,3.96625,3.4,1.675,22,2380,2296,1995,1298
1MF7_A.pdb,31,4.91815,4.216,2.077,24,3133,3287,2439,2039
1DLJ_A.pdb,40,6.346,5.44,2.68,30,6481,4324,3082,2932
1GK9_B.pdb,129,20.46585,17.544,8.643,81,8646,14265,8421,6083
2RG2_A.pdb,77,12.21605,10.472,5.159,43,5160,8562,4442,3471
2RKL_A.pdb,7,1.11055,0.952,0.469,6,847,699,580,375
1MC2_A.pdb,21,3.33165,2.856,1.407,18,1915,2140,1783,1240
1M07_A.pdb,33,5.23545,4.488,2.211,26,1727,3492,2680,1262
2OMW_A.pdb,90,14.2785,12.24,6.03,75,7063,9748,7964,4931
1CCW_A.pdb,19,3.01435,2.584,1.273,17,2095,2031,1781,1284
1MRJ_A.pdb,43,6.82195,5.848,2.881,28,3974,4765,3006,2499
3EXE_B.pdb,55,8.72575,7.48,3.685,40,5030,5894,4139,3248
2VFX_E.pdb,50,7.9325,6.8,3.35,27,3332,5503,2720,1912
3D4U_B.pdb,18,2.8557,2.448,1.206,16,1042,1810,1584,790
3D25_B.pdb,35,5.55275,4.76,2.345,26,1597,3749,2686,1250
1FT5_A.pdb,43,6.82195,5.848,2.881,37,3265,4541,3863,2184
1AMT_A.pdb,1,0.15865,0.136,0.067,1,162,59,59,59
2YXN_A.pdb,48,7.6152,6.528,3.216,37,5035,4942,3595,2961
1ISU_A.pdb,18,2.8557,2.448,1.206,15,875,1808,1485,689
1MHN_A.pdb,16,2.5384,2.176,1.072,16,909,1677,1677,633
3BFQ_G.pdb,45,7.13925,6.12,3.015,36,1871,4695,3564,1530
1GQN_A.pdb,36,5.7114,4.896,2.412,33,3888,3674,3322,2157
1GNY_A.pdb,51,8.09115,6.936,3.417,42,2196,5555,4471,1746
2Q88_A.pdb,11,1.74515,1.496,0.737,7,3825,1156,649,871
1MUW_A.pdb,48,7.6152,6.528,3.216,35,7738,6335,4370,3941
1AA3_A.pdb,22,3.4903,2.992,1.474,13,1355,3171,1716,1152
2VOL_B.pdb,64,10.1536,8.704,4.288,27,2827,7471,2876,2084
2W5Q_A.pdb,80,12.692,10.88,5.36,48,6792,9021,5106,4600
1BOM_A.pdb,7,1.11055,0.952,0.469,7,387,841,841,340
2Z2O_C.pdb,126,19.9899,17.136,8.442,57,4612,14585,6235,3916
1DCI_A.pdb,42,6.6633,5.712,2.814,37,4270,4513,3909,2623
2IZX_B.pdb,2,0.3173,0.272,0.134,2,680,178,178,178
1DGF_A.pdb,114,18.0861,15.504,7.638,66,7816,12524,6657,5085
1MIX_A.pdb,46,7.2979,6.256,3.082,32,3362,4874,3257,2041
2SN3_A.pdb,13,2.06245,1.768,0.871,10,1225,1697,1263,897
1G6G_A.pdb,41,6.50465,5.576,2.747,32,1996,4688,3539,1538
1A8L_A.pdb,46,7.2979,6.256,3.082,26,3619,5170,2753,2393
2ZQN_A.pdb,38,6.0287,5.168,2.546,23,2064,4430,2500,1604
1BHU_A.pdb,22,3.4903,2.992,1.474,18,1891,3217,2538,1214
2ZDP_A.pdb,13,2.06245,1.768,0.871,5,1786,1532,544,644
3E9L_A.pdb,44,6.9806,5.984,2.948,27,4222,4781,2769,2450
3ETJ_A.pdb,83,13.16795,11.288,5.561,57,5542,9300,6127,4012
1K3Y_A.pdb,37,5.87005,5.032,2.479,28,3656,4011,2901,2263
2R6Q_A.pdb,60,9.519,8.16,4.02,46,1960,6557,4867,1642
2Q5B_A.pdb,31,4.91815,4.216,2.077,22,1574,3320,2300,1170
2INC_A.pdb,81,12.85065,11.016,5.427,54,7778,8974,5738,4961
2PPP_A.pdb,41,6.50465,5.576,2.747,29,1662,4647,3168,1306
1DBF_A.pdb,28,4.4422,3.808,1.876,20,2056,3189,2179,1282
2P8B_A.pdb,81,12.85065,11.016,5.427,54,5758,9157,5806,4166
1C7K_A.pdb,16,2.5384,2.176,1.072,13,1923,1633,1277,888
1HRE_A.pdb,6,0.9519,0.816,0.402,5,1361,759,617,494
3CIB_A.pdb,107,16.97555,14.552,7.169,70,6023,12099,7463,4299
1AVA_A.pdb,70,11.1055,9.52,4.69,47,6213,7626,4806,3656
3EDN_A.pdb,82,13.0093,11.152,5.494,48,4448,8903,4869,3239
2RLC_A.pdb,65,10.31225,8.84,4.355,38,5023,6853,3813,3089
2W0P_B.pdb,35,5.55275,4.76,2.345,33,1331,3532,3316,1062
3CAO_A.pdb,15,2.37975,2.04,1.005,15,1466,1305,1305,883
1LLP_A.pdb,50,7.9325,6.8,3.35,38,4976,5360,3906,2916
3BWY_A.pdb,37,5.87005,5.032,2.479,22,3338,4157,2286,2143
1FE6_A.pdb,1,0.15865,0.136,0.067,1,830,77,77,77
1I1D_D.pdb,17,2.69705,2.312,1.139,12,2568,1804,1189,985
1K77_A.pdb,39,6.18735,5.304,2.613,23,3999,4150,2234,2438
2Z8A_B.pdb,24,3.8076,3.264,1.608,18,2267,2605,1891,1443
2VPG_C.pdb,10,1.5865,1.36,0.67,8,888,988,750,519
3C8C_A.pdb,57,9.04305,7.752,3.819,31,3621,6393,3161,2464
1E2W_A.pdb,77,12.21605,10.472,5.159,44,3862,8395,4481,2893
2V9M_A.pdb,66,10.4709,8.976,4.422,41,4220,7369,4226,2903
1DFU_P.pdb,22,3.4903,2.992,1.474,13,1530,2483,1370,997
2ZC1_A.pdb,42,6.6633,5.712,2.814,37,4940,4372,3762,2684
1H7O_A.pdb,50,7.9325,6.8,3.35,38,5267,5321,3847,3145
2VVM_A.pdb,98,15.5477,13.328,6.566,69,7412,11018,7516,4805
2Z9X_B.pdb,70,11.1055,9.52,4.69,57,5831,7691,6091,3987
1HPG_A.pdb,119,18.87935,16.184,7.973,104,2494,11142,9225,2150
3CX5_C.pdb,50,7.9325,6.8,3.35,37,6206,5413,3879,3614
3C62_A.pdb,18,2.8557,2.448,1.206,17,1605,1833,1724,1126
1N7S_A.pdb,2,0.3173,0.272,0.134,2,1012,185,185,185
3C2U_A.pdb,185,29.35025,25.16,12.395,98,8406,21676,11059,6292
1FF3_A.pdb,40,6.346,5.44,2.68,22,3139,4470,2257,1862
1I4J_A.pdb,23,3.64895,3.128,1.541,18,1789,2496,1919,1040
3BOD_A.pdb,74,11.7401,10.064,4.958,39,2717,8246,4086,2141
1ASU_A.pdb,33,5.23545,4.488,2.211,30,2528,3319,2982,1530
3C83_A.pdb,35,5.55275,4.76,2.345,22,2640,3828,2276,1949
2V1P_A.pdb,89,14.11985,12.104,5.963,66,7290,9794,7053,4656
2ZQO_A.pdb,46,7.2979,6.256,3.082,20,2043,5409,2179,1641
1AGI_A.pdb,33,5.23545,4.488,2.211,25,2001,3581,2707,1320
1BM8_A.pdb,28,4.4422,3.808,1.876,19,1708,3090,1928,1223
1FH9_A.pdb,36,5.7114,4.896,2.412,28,4694,3808,2852,2566
3FLL_A.pdb,70,11.1055,9.52,4.69,34,2814,7983,3589,2043
1MTY_G.pdb,20,3.173,2.72,1.34,13,2787,2251,1329,1404
2VG3_A.pdb,36,5.7114,4.896,2.412,32,4529,3901,3419,2289
2RI0_B.pdb,27,4.28355,3.672,1.809,21,3614,2886,2159,1803
1EBL_A.pdb,61,9.67765,8.296,4.087,49,4550,6646,5160,2960
1BKP_B.pdb,61,9.67765,8.296,4.087,46,4534,6526,4776,2989
1E6Y_C.pdb,40,6.346,5.44,2.68,34,3814,4339,3659,2194
1KDG_B.pdb,111,17.61015,15.096,7.437,82,8074,12599,8852,5637
2YZT_A.pdb,13,2.06245,1.768,0.871,11,1070,1274,1030,501
2Q2N_A.pdb,42,6.6633,5.712,2.814,30,4879,4438,3051,2786
8TLN_E.pdb,78,12.3747,10.608,5.226,63,4692,8268,6509,3573
1N70_A.pdb,91,14.43715,12.376,6.097,54,5016,10083,5700,3499
1GCA_A.pdb,38,6.0287,5.168,2.546,35,4892,4074,3718,2550
1AVB_B.pdb,97,15.38905,13.192,6.499,69,3451,11043,7599,2940
1E08_E.pdb,20,3.173,2.72,1.34,18,1188,2011,1760,929
1MRO_C.pdb,46,7.2979,6.256,3.082,41,3925,4867,4268,2458
2ZAL_A.pdb,26,4.1249,3.536,1.742,25,2383,2535,2419,1341
2PU9_A.pdb,14,2.2211,1.904,0.938,11,1704,1439,1080,839
1E43_A.pdb,96,15.2304,13.056,6.432,58,7525,10982,6208,5210
1GPE_A.pdb,144,22.8456,19.584,9.648,96,8899,16739,10692,6677
1IOO_A.pdb,42,6.6633,5.712,2.814,25,3190,4838,2727,1993
1B94_A.pdb,48,7.6152,6.528,3.216,28,4005,5202,2830,2333
2W7A_A.pdb,18,2.8557,2.448,1.206,9,1594,2050,935,821
1KOE_A.pdb,44,6.9806,5.984,2.948,33,2631,4998,3662,2003
1AUN_A.pdb,58,9.2017,7.888,3.886,29,3048,6506,3041,2389
1DTD_B.pdb,14,2.2211,1.904,0.938,10,892,1479,1017,578
2ONS_A.pdb,71,11.26415,9.656,4.757,42,5012,8180,4530,3788
1HEH_C.pdb,13,2.06245,1.768,0.871,11,1484,1546,1263,817
1NOA_A.pdb,42,6.6633,5.712,2.814,36,1508,4147,3446,1289
1M1N_B.pdb,69,10.94685,9.384,4.623,55,8249,7330,5649,4484
2RI9_A.pdb,81,12.85065,11.016,5.427,68,7240,8758,7134,4820
2Z7F_I.pdb,5,0.79325,0.68,0.335,5,750,510,510,253
2RKN_A.pdb,20,3.173,2.72,1.34,20,1080,1928,1928,878
1GZJ_A.pdb,42,6.6633,5.712,2.814,32,4597,4514,3286,2642
2ZE3_A.pdb,34,5.3941,4.624,2.278,29,4067,3492,2902,2421
1GQA_A.pdb,19,3.01435,2.584,1.273,15,1858,1930,1472,1251
3C7W_A.pdb,33,5.23545,4.488,2.211,25,2616,3499,2553,1851
3F6B_X.pdb,58,9.2017,7.888,3.886,52,7799,6223,5500,4074
2YWL_A.pdb,23,3.64895,3.128,1.541,20,2691,2416,2017,1285
3DQP_A.pdb,23,3.64895,3.128,1.541,19,3311,2389,1967,1547
2ZFZ_F.pdb,24,3.8076,3.264,1.608,18,1118,2590,1808,894
1L9L_A.pdb,7,1.11055,0.952,0.469,6,1637,938,810,742
1KVD_B.pdb,19,3.01435,2.584,1.273,15,1058,1841,1431,681
1CP2_A.pdb,57,9.04305,7.752,3.819,46,4093,6149,4788,2932
2Z0A_D.pdb,8,1.2692,1.088,0.536,8,1167,730,730,445
1D7D_A.pdb,70,11.1055,9.52,4.69,40,2717,7851,4263,2086
1NOF_A.pdb,89,14.11985,12.104,5.963,71,5850,9952,7703,4324
1L7A_A.pdb,56,8.8844,7.616,3.752,32,5014,6412,3447,3214
1H7E_A.pdb,37,5.87005,5.032,2.479,24,3802,4108,2482,2117
1MKC_A.pdb,5,0.79325,0.68,0.335,3,883,736,438,413
1AH7_A.pdb,35,5.55275,4.76,2.345,25,3889,4002,2767,2361
1IYB_A.pdb,42,6.6633,5.712,2.814,21,3108,4754,2216,1940
3D1G_A.pdb,127,20.14855,17.272,8.509,79,5698,14378,8497,4150
1IBY_A.pdb,43,6.82195,5.848,2.881,36,1731,4463,3688,1453
3CDT_A.pdb,33,5.23545,4.488,2.211,24,2622,3488,2413,1952
1IQC_A.pdb,64,10.1536,8.704,4.288,46,4714,7054,4829,3215
3BH4_A.pdb,102,16.1823,13.872,6.834,57,7505,11688,6041,5307
2PZ4_A.pdb,29,4.60085,3.944,1.943,17,3745,3230,1762,1395
1FTR_A.pdb,89,14.11985,12.104,5.963,60,4348,9805,6383,3235
3FJU_B.pdb,11,1.74515,1.496,0.737,11,1011,1165,1165,620
1DI2_A.pdb,22,3.4903,2.992,1.474,19,1095,2262,1943,835
6STD_A.pdb,62,9.8363,8.432,4.154,44,2670,6849,4602,2165
2NW0_A.pdb,31,4.91815,4.216,2.077,21,2947,3228,2019,1643
2PNE_A.pdb,21,3.33165,2.856,1.407,21,849,2037,2037,732
1NNS_A.pdb,47,7.45655,6.392,3.149,39,4852,4967,3975,2910
2UWA_A.pdb,47,7.45655,6.392,3.149,18,4266,5517,1896,1944
1H72_C.pdb,77,12.21605,10.472,5.159,51,4606,8804,5565,3526
2ZP3_A.pdb,23,3.64895,3.128,1.541,20,1842,2341,1993,1205
1O9I_A.pdb,39,6.18735,5.304,2.613,34,4072,4101,3499,2286
2VN6_B.pdb,7,1.11055,0.952,0.469,7,995,681,681,483
2J5Y_A.pdb,0,0.0,0.0,0.0,0,974,0,0,0
1G8A_A.pdb,48,7.6152,6.528,3.216,26,3683,5329,2700,2382
1BKB_A.pdb,50,7.9325,6.8,3.35,42,2091,5359,4356,1709
2NW8_A.pdb,45,7.13925,6.12,3.015,35,4349,4755,3534,2688
3C8Y_A.pdb,126,19.9899,17.136,8.442,100,8900,13765,10636,6742
1IG0_B.pdb,80,12.692,10.88,5.36,53,5172,8994,5722,3707
3FG9_A.pdb,7,1.11055,0.952,0.469,7,2385,752,752,530
2JYP_A.pdb,11,1.74515,1.496,0.737,8,739,1667,1152,599
1IDK_A.pdb,40,6.346,5.44,2.68,37,5159,4416,4038,2514
1LXJ_A.pdb,22,3.4903,2.992,1.474,19,1582,2128,1777,983
1CJW_A.pdb,45,7.13925,6.12,3.015,26,2581,5017,2698,2063
3BF7_A.pdb,39,6.18735,5.304,2.613,29,3981,4288,3069,2453
3DHA_A.pdb,71,11.26415,9.656,4.757,47,4000,7897,5034,3049
1BUO_A.pdb,15,2.37975,2.04,1.005,11,1930,1586,1107,900
1K20_A.pdb,55,8.72575,7.48,3.685,40,4658,6033,4161,2987
1GVJ_B.pdb,30,4.7595,4.08,2.01,19,2382,3429,2015,1556
1EUV_A.pdb,41,6.50465,5.576,2.747,27,3585,4438,2725,2110
1CHL_A.pdb,70169,11132.31185,9542.984,4701.323,17,4788,53748933,4882,4651
1KCZ_A.pdb,78,12.3747,10.608,5.226,53,6359,8659,5572,4207
1GVP_A.pdb,27,4.28355,3.672,1.809,23,1438,2784,2288,982
1GT9_1.pdb,59,9.36035,8.024,3.953,48,5021,6336,5030,3103
1KEW_A.pdb,43,6.82195,5.848,2.881,34,5653,4691,3585,3400
2VPB_B.pdb,3,0.47595,0.408,0.201,3,533,265,265,180
2VOA_A.pdb,77,12.21605,10.472,5.159,35,4173,8926,3799,3249
1A56_A.pdb,21,3.33165,2.856,1.407,19,1595,2817,2549,1113
1GK2_A.pdb,80,12.692,10.88,5.36,64,7564,8570,6630,4745
3BOY_A.pdb,40,6.346,5.44,2.68,23,2261,4377,2370,1401
1G24_A.pdb,49,7.77385,6.664,3.283,29,3331,5503,3099,2299
2ZS0_C.pdb,15,2.37975,2.04,1.005,13,2111,1528,1278,949
1C1K_A.pdb,39,6.18735,5.304,2.613,27,3708,4231,2721,2363
1BB1_A.pdb,2,0.3173,0.272,0.134,2,532,195,195,168
2IJX_A.pdb,89,14.11985,12.104,5.963,41,3877,10362,4383,2968
1HQK_A.pdb,27,4.28355,3.672,1.809,24,2376,2913,2525,1525
2VVM_B.pdb,99,15.70635,13.464,6.633,68,7376,11166,7410,4795
2IZB_A.pdb,34,5.3941,4.624,2.278,24,1987,4304,2878,1419
1IVD_A.pdb,86,13.6439,11.696,5.762,69,6105,9823,7753,4303
3B4X_A.pdb,64,10.1536,8.704,4.288,44,6017,7017,4616,3745
3EMS_A.pdb,31,4.91815,4.216,2.077,24,1959,3361,2504,1460
1BUY_A.pdb,38,6.0287,5.168,2.546,32,3497,5115,4188,2482
1NHC_A.pdb,27,4.28355,3.672,1.809,23,4716,2838,2347,1940
2MCM_A.pdb,33,5.23545,4.488,2.211,33,1483,3209,3209,1206
2RCA_A.pdb,58,9.2017,7.888,3.886,39,4329,6394,4076,2977
1I27_A.pdb,13,2.06245,1.768,0.871,8,1207,1381,803,614
1NRA_A.pdb,18,2.8557,2.448,1.206,13,1223,2490,1771,856
2IFV_A.pdb,21,3.33165,2.856,1.407,15,2880,2305,1572,1528
2QDV_A.pdb,32,5.0768,4.352,2.144,19,1573,3603,2065,1272
3FAS_A.pdb,43,6.82195,5.848,2.881,29,4102,4714,3042,2499
3B5T_B.pdb,33,5.23545,4.488,2.211,20,1708,3498,1963,1261
2ZGY_A.pdb,74,11.7401,10.064,4.958,56,5021,8107,5897,3579
2PBD_P.pdb,43,6.82195,5.848,2.881,27,2092,4951,2888,1541
2VYZ_A.pdb,11,1.74515,1.496,0.737,9,1606,1050,834,745
1MEQ_A.pdb,6,0.9519,0.816,0.402,4,568,873,528,388
1D2S_A.pdb,71,11.26415,9.656,4.757,47,2625,8093,5126,2044
1M70_A.pdb,37,5.87005,5.032,2.479,35,2720,3785,3559,1812
1F5V_A.pdb,43,6.82195,5.848,2.881,31,3771,4661,3146,2213
1EE2_A.pdb,71,11.26415,9.656,4.757,49,5605,8039,5231,3640
1DOQ_A.pdb,24,3.8076,3.264,1.608,19,1512,3517,2637,1151
1GYH_A.pdb,97,15.38905,13.192,6.499,48,5002,11010,5029,3636
1CGH_A.pdb,69,10.94685,9.384,4.623,44,3788,8106,5009,2450
2Z0A_C.pdb,4,0.6346,0.544,0.268,4,1158,350,350,234
1LK5_A.pdb,47,7.45655,6.392,3.149,24,3594,5323,2438,2255
2J7Z_A.pdb,17,2.69705,2.312,1.139,14,1144,1790,1446,794
2Z6R_B.pdb,51,8.09115,6.936,3.417,41,4223,5504,4246,2595
1K7H_A.pdb,95,15.07175,12.92,6.365,69,7240,10408,7290,5129
3DD2_L.pdb,54,8.5671,7.344,3.618,52,483,4600,4365,380
1H6L_A.pdb,118,18.7207,16.048,7.906,64,5325,13213,6835,4256
1FLM_A.pdb,40,6.346,5.44,2.68,36,1864,4284,3794,1417
2IMF_A.pdb,38,6.0287,5.168,2.546,26,3047,4041,2575,2133
1IQQ_A.pdb,44,6.9806,5.984,2.948,29,3262,4902,3037,2089
1HCR_A.pdb,12,1.9038,1.632,0.804,9,868,1248,877,551
1EXG_A.pdb,40,6.346,5.44,2.68,36,1894,5188,4518,1430
